Species,Bird_Population_Parameter,Life_Cycle_Phase,Region,PD_Species,Methodology,Variable,Effect Direction,Descriptive only?,Abundance_Change,Abundance_Num,H1 Conclusion,Reference,Ref_Num,,,,,,,,,,,,,,,,,,,,,,,,,,
Brown-headed Cowbird,Occurrence,Breeding Season/Adult,SD (USA),BTPD,Relative density,birds/ha,Neutral,No,Neutral,0,NA,Geaumont et al 2026,52,,,,,,,,,,,,,,,,,,,,,,,,,,
Brown-headed Cowbird,Occurrence,Breeding Season/Adult,OK (USA),BTPD,Relative density,birds/km,Neutral,No,Neutral,0,NA,Smith and Lomolino (2004),60,,,,,,,,,,,,,,,,,,,,,,,,,,
Brown-thrasher,Occurrence,Breeding Season/Adult,SD (USA),BTPD,Relative density,birds/ha,Not tested,No,NA,0,NA,Geaumont et al 2025,52,,,,,,,,,,,,,,,,,,,,,,,,,,
Buff-breasted Sandpiper,Occurrence,Year-round/Adult,OK (USA),BTPD,Behavioral observation,NA,Positive,Yes,Increase,1,Supports,Tyler (1968),62,,,,,,,,,,,,,,,,,,,,,,,,,,
Bullock's Oriole,Occurrence,Breeding Season/Adult,OK (USA),BTPD,Relative density,birds/km,Negative,No,Decrease,-1,NA,Smith and Lomolino (2004),60,,,,,,,,,,,,,,,,,,,,,,,,,,
Bullock's Oriole,Occurrence,Year-round/Adult,OK (USA),BTPD,Behavioral observation,NA,Positive,Yes,Increase,1,Supports,Tyler (1968),62,,,,,,,,,,,,,,,,,,,,,,,,,,
Burrowing Owl,Nesting,Breeding Season/Adult,AZ (USA),GUPD,Nest success,Binary,Negative,No,Decrease,-1,Does not support,Bayless et al,242,,,,,,,,,,,,,,,,,,,,,,,,,,
Burrowing Owl,Occurrence,Year-round/Adult,Regionwide (USA),BTPD,Behavioral observation,NA,Positive,Yes,Increase,1,Supports,Koford,11,,,,,,,,,,,,,,,,,,,,,,,,,,
Burrowing Owl,Occurrence,Breeding Season/Adult,CO (USA),BTPD,Relative density,birds/100 ha,Positive,No,Increase,1,Supports,Tipton et al,18,,,,,,,,,,,,,,,,,,,,,,,,,Nest site selection,NA
Burrowing Owl,Occurrence,Breeding Season/Adult,CO (USA),BTPD,Occupancy,NA,Positive,No,Increase,1,Supports,Tipton et al,19,,,,,,,,,,,,,,,,,,,,,,,,,,
Burrowing Owl,Occurrence,Breeding Season/Adult,SD (USA),BTPD,Species richness,species,Positive,No,Increase,1,Supports,Agnew et al (1986),43,,,,,,,,,,,,,,,,,,,,,,,,,,
Burrowing Owl,Occurrence,Breeding Season/Adult,"MT, WY, SD (USA)",BTPD,Relative density,birds/km^2,Positive,No,Increase,1,Supports,"Augustine, DJ; Baker, BW",44,,,,,,,,,,,,,,,,,,,,,,,,,,
Burrowing Owl,Occurrence,Breeding Season/Adult,WY (USA),WTPD,General survey,NA,Positive,Yes,Increase,1,Supports,Campbell and Clark,46,,,,,,,,,,,,,,,,,,,,,,,,,,
Burrowing Owl,Occurrence,Breeding Season/Adult,WY (USA),BTPD,General survey,NA,Positive,Yes,Increase,1,Supports,Campbell and Clark,46,,,,,,,,,,,,,,,,,,,,,,,,,,
Burrowing Owl,Occurrence,Non-breeding Season/Adult,CHH (MX),BTPD,Relative abundance,not specified,Positive,No,Increase,1,Supports,"Desmond, M",47,,,,,,,,,,,,,,,,,,,,,,,,,,
Burrowing Owl,Occurrence,Breeding Season/Adult,NM (USA),BTPD,Relative density,birds/km^2,Positive,No,Increase,1,Supports,Goguen (2012),53,,,,,,,,,,,,,,,,,,,,,,,,,,
Burrowing Owl,Occurrence,Year-round/Adult,CHH (MX),BTPD,General survey,NA,Positive,Yes,Increase,1,Supports,Manzano-Fischer et al (1999),56,,,,,,,,,,,,,,,,,,,,,,,,,,
Burrowing Owl,Occurrence,Breeding Season/Adult,OK (USA),BTPD,Relative density,birds/km,Positive,No,Increase,1,Supports,Smith and Lomolino (2004),60,,,,,,,,,,,,,,,,,,,,,,,,,,
Burrowing Owl,Occurrence,Year-round/Adult,OK (USA),BTPD,Behavioral observation,NA,Positive,Yes,Increase,1,Supports,Tyler (1968),62,,,,,,,,,,,,,,,,,,,,,,,,,,
Burrowing Owl,Occurrence,Breeding Season/Adult,NM (USA),"BTPD, GUPD",General survey,NA,Positive,Yes,Increase,1,Supports,Arrowood et al ,65,,,,,,,,,,,,,,,,,,,,,,,,,Relative abundance,birds/site
Burrowing Owl,Occurrence,Breeding Season/Adult,NM (USA),BTPD,Resurvey,NA,Positive,Yes,Increase,1,Supports,Arrowood et al ,65,,,,,,,,,,,,,,,,,,,,,,,,,Badger predation rate,p(badger predation)
Burrowing Owl,Occurrence,Breeding Season/Adult,"NLE, SLP (MX)",MEPD,Relative density,birds/ha,Positive,No,Increase,1,Supports,"Ayma, GR; Kerstupp, AO; Duarte, AM; Velasco, AG; Rojas, JIG",66,,,,,,,,,,,,,,,,,,,,,,,,,,
Burrowing Owl,Occurrence,Year-round/Adult,AZ (USA),"BTPD, GUPD",Historical analysis,NA,Positive,Yes,Increase,1,Supports,"Brown, NL",67,,,,,,,,,,,,,,,,,,,,,,,,,Nest site selection,NA
Burrowing Owl,Occurrence,Breeding Season/Adult,Regionwide,"BTPD, MEPD, GUPD, WTPD, UTPD ",Relative abundance,birds/survey,Positive,No,Increase,1,Supports,"Conway, CJ",68,,,,,,,,,,,,,,,,,,,,,,,,,,
Burrowing Owl,Occurrence,Breeding Season/Adult,Regionwide,"BTPD, MEPD, GUPD, WTPD, UTPD ",Population trend,% change,Negative,No,Increase,1,Supports,"Conway, CJ",68,,,,,,,,,,,,,,,,,,,,,,,,,,
Burrowing Owl,Nesting,Breeding Season/Adult,NE (USA),BTPD,Badger predation rate,p(badger predation),Positive,No,Increase,1,Supports,Desmond et al,69,,,,,,,,,,,,,,,,,,,,,,,,,,
Burrowing Owl,Nesting,Breeding Season/Adult,NE (USA),BTPD,Relative abundance,owls/colony,Positive,No,Increase,1,Supports,Desmond et al,69,,,,,,,,,,,,,,,,,,,,,,,,,,
Burrowing Owl,Nesting,Breeding Season/Adult,NE (USA),BTPD,Nest success,Binary,Positive,No,Increase,1,Supports,Desmond et al,69,,,,,,,,,,,,,,,,,,,,,,,,,,
Burrowing Owl,Nesting,Breeding Season/Adult,NE (USA),BTPD,Nest success,Binary,Positive,No,Increase,1,Supports,"Desmond, MJ; Savidge, JA",70,,,,,,,,,,,,,,,,,,,,,,,,,,
Burrowing Owl,Nesting,Breeding Season/Adult,NE (USA),BTPD,Nestling habitat use,Number of PD burrows,Positive,No,Increase,1,Supports,"Desmond, MJ; Savidge, JA",70,,,,,,,,,,,,,,,,,,,,,,,,,,
Burrowing Owl,Nesting,Breeding Season/Adult,NE (USA),BTPD,Nest site selection,NA,Positive,No,Increase,1,Supports,"DESMOND, MJ; SAVIDGE, JA; SEIBERT, TF",71,,,,,,,,,,,,,,,,,,,,,,,,,Nest prescence/absence,Binary
Burrowing Owl,Nesting,Breeding Season/Adult,SD (USA),BTPD,Clutch size/brood size,eggs or chicks/nest,Positive,No,Increase,1,Supports,"Griebel, RL",72,,,,,,,,,,,,,,,,,,,,,,,,,Nest site selection,NA
Burrowing Owl,Nesting,Breeding Season/Adult,SD (USA),BTPD,Presence/absence,Binary,Positive,No,Increase,1,Supports,"Griebel, RL",72,,,,,,,,,,,,,,,,,,,,,,,,,Nest success,Binary
Burrowing Owl,Nesting,Breeding Season/Adult,SD (USA),BTPD,Productivity,Young fledged/nest,Positive,No,Increase,1,Supports,"Griebel, RL",72,,,,,,,,,,,,,,,,,,,,,,,,,Presence/absence,Binary
Burrowing Owl,Nesting,Breeding Season/Adult,WY (USA),BTPD,Nest survival,p(surv)/day,Positive,No,Increase,1,Supports,"Lantz, SJ; Conway, CJ",73,,,,,,,,,,,,,,,,,,,,,,,,,,
Burrowing Owl,Nesting,Breeding Season/Adult,WY (USA),BTPD,Nest site selection,NA,Positive,No,Increase,1,Supports,"Lantz, SJ; Conway, CJ; Anderson, SH",74,,,,,,,,,,,,,,,,,,,,,,,,,,
Burrowing Owl,Occurrence,Breeding Season/Adult,ND (USA),BTPD,Presence/absence,Binary,Positive,Yes,Increase,1,Supports,"Murphy, RK; Hasselblad, KW; Grondahl, CD; Sidle, JG; Martin, RE; Freed, DW",75,,,,,,,,,,,,,,,,,,,,,,,,,Nest density,nests/ha
Burrowing Owl,Nesting,Breeding Season/Adult,TX (USA),BTPD,Productivity,max young/pair,Positive,No,Increase,1,Supports,"Ray, JD; McIntyre, NE; Wallace, MC; Teaschner, AP; Schoenhals, MG",77,,,,,,,,,,,,,,,,,,,,,,,,,Nest site selection,NA
Burrowing Owl,Occurrence,Breeding Season/Adult,TX (USA),BTPD,Relative abundance,Nesting pairs/town,Positive,No,Increase,1,Supports,"Ray, JD; McIntyre, NE; Wallace, MC; Teaschner, AP; Schoenhals, MG",77,,,,,,,,,,,,,,,,,,,,,,,,,Relative density,birds/ha
Burrowing Owl,Nesting,Breeding Season/Adult,ND (USA),BTPD,Nest success,Avg brood size,Positive,No,Increase,1,Supports,"Restani, M; Rau, LR; Flath, DL",78,,,,,,,,,,,,,,,,,,,,,,,,,Productivity,young/pair
Burrowing Owl,Occurrence,Breeding Season/Adult,ND (USA),BTPD,Relative abundance,Avg pairs/colony,Positive,No,Increase,1,Supports,"Restani, M; Rau, LR; Flath, DL",78,,,,,,,,,,,,,,,,,,,,,,,,,Nest success,Binary
Burrowing Owl,Nesting,Breeding Season/Adult,MT (USA),BTPD,Productivity,young/pair,Positive,No,Increase,1,Supports,"Restani, M; Rau, LR; Flath, DL",79,,,,,,,,,,,,,,,,,,,,,,,,,Relative abundance,owls/colony
Burrowing Owl,Occurrence,Breeding Season/Adult,MT (USA),BTPD,Presence/absence,Binary,Positive,No,Increase,1,Supports,"Restani, M; Rau, LR; Flath, DL",79,,,,,,,,,,,,,,,,,,,,,,,,,,
Burrowing Owl,Nesting,Breeding Season/Adult,SD (USA),BTPD,Nest prescence/absence,Binary,Positive,No,Increase,1,Supports,"Thiele, JP; Bakker, KK; Dieter, CD",81,,,,,,,,,,,,,,,,,,,,,,,,,,
Burrowing Owl,Occurrence,Breeding Season/Adult,SD (USA),BTPD,Presence/absence,Binary,Positive,No,Increase,1,Supports,"Thiele, JP; Bakker, KK; Dieter, CSD",82,,,,,,,,,,,,,,,,,,,,,,,,,Relative density,birds/100 ha
Burrowing Owl,Nesting,Breeding Season/Adult,CO (USA),BTPD,Nest site selection,NA,Positive,No,Increase,1,Supports,Plumpton and Lutz,83,,,,,,,,,,,,,,,,,,,,,,,,,Relative abundance,birds/survey
Burrowing Owl,Occurrence,Breeding Season/Adult,"ND, SD, WY, NE, CO, KS, OK, NM, TX (USA)",BTPD,Presence/absence,Binary,Positive,Yes,Increase,1,Supports,Sidle et al,84,,,,,,,,,,,,,,,,,,,,,,,,,,
Burrowing Owl,Occurrence,Breeding Season/Adult,CO (USA),BTPD,Presence/absence,Binary,Positive,Yes,Increase,1,Supports,VerCauteren et al,85,,,,,,,,,,,,,,,,,,,,,,,,,Nest survival,p(surv)/day
Burrowing Owl,Nesting,Breeding Season/Adult,AZ (USA),GUPD,Nest site selection,NA,Positive,No,Increase,1,Supports,Bayless et al,242,,,,,,,,,,,,,,,,,,,,,,,,,,
Burrowing Owl,Occurrence,Nonbreeding Season/Adult,OK (USA),BTPD,Presence/absence,banded owls/site,Positive,Yes,Increase,1,Supports,Butts,243,,,,,,,,,,,,,,,,,,,,,,,,,,
Burrowing Owl,Nesting,"Breeding, Nonbreeding",TX (USA),BTPD,Nest site selection,nests/site,Positive,No,Increase,1,Supports,Teaschner,252,,,,,,,,,,,,,,,,,,,,,,,,,,
Burrowing Owl,Nesting,Breeding Season/Adult,CO (USA),BTPD,Frequency,%,Positive,Yes,Increase,1,Supports,Woodard,254,,,,,,,,,,,,,,,,,,,,,,,,,Nest site selection,NA
Burrowing Owl,Nesting,Breeding Season/Adult,NE (USA),BTPD,Nest density,nests/ha,Positive,No,Increase,1,Supports,Desmond et al,256,,,,,,,,,,,,,,,,,,,,,,,,,Nestling habitat use,Number of PD burrows
Burrowing Owl,Occurrence,Year-round/Adult,"TX, NM (USA)",BTPD,Relative abundance,birds/site,Positive,No,Increase,1,Supports,Merriman,271,,,,,,,,,,,,,,,,,,,,,,,,,Clutch size/brood size,eggs or chicks/nest
Burrowing Owl,Occurrence,Breeding Season/Adult,CO (USA),BTPD,Relative abundance ,birds/km^2,Positive,No,Increase,1,Supports,Tipon,272,,,,,,,,,,,,,,,,,,,,,,,,,Population trend,% change
Burrowing Owl,Nesting,Breeding Season/Adult,NE (USA),BTPD,Nest site selection,NA,Positive,No,Increase,1,Supports,Ekstein,273,,,,,,,,,,,,,,,,,,,,,,,,,Presence/absence,Binary
Burrowing Owl,Nesting,Breeding Season/Adult,NE (USA),BTPD,Nest success,Binary,Positive,No,Increase,1,Supports,Ekstein,273,,,,,,,,,,,,,,,,,,,,,,,,,Productivity,Young fledged/nest
Burrowing Owl,Nesting,Breeding Season/Adult,CO (USA),BTPD,Nest site selection,NA,Positive,No,Increase,1,Supports,Pezzolesi,274,,,,,,,,,,,,,,,,,,,,,,,,,,
Burrowing Owl,Nesting,Breeding Season/Adult,CO (USA),BTPD,Nest site selection,NA,Positive,No,Increase,1,Supports,Pezzolesi,274,,,,,,,,,,,,,,,,,,,,,,,,,Productivity,fledglings/colony
Burrowing Owl,Nesting,Breeding Season/Adult,OK (USA),BTPD,Nest site selection,NA,Positive,Yes,Increase,1,Supports,Butts and Lewis,275,,,,,,,,,,,,,,,,,,,,,,,,,Relative abundance,Nesting pairs/town
Burrowing Owl,Nesting,Breeding Season/Adult,SD (USA),BTPD,Nest density,nests/ha,Positive,No,Increase,1,Supports,Kristy Bly,276,,,,,,,,,,,,,,,,,,,,,,,,,Presence/absence,Binary
Burrowing Owl,Nesting,Breeding Season/Adult,SD (USA),BTPD,Productivity,fledglings/colony,Positive,No,Increase,1,Supports,Kristy Bly,276,,,,,,,,,,,,,,,,,,,,,,,,,Nest site selection,nests/site
Burrowing Owl,Occurrence,Breeding Season/Adult,"KS, CO (USA)",BTPD,Relative abundance ,birds/km,Not tested,No,NA,0,NA,Winter et al (2003),61,,,,,,,,,,,,,,,,,,,,,,,,,,
Burrowing Owl,Occurrence,Breeding Season/Adult,CO (USA),BTPD,Presence/absence,Binary,Neutral,No,Neutral,0,Equivocal,"Orth, PB; Kennedy, PL",76,,,,,,,,,,,,,,,,,,,,,,,,,,
Burrowing Owl,Diet,Breeding Season/Adult,MT (USA),BTPD,Frequency,%,Neutral,Yes,Neutral,0,Equivocal,"Restani, M; Rau, LR; Flath, DL",79,,,,,,,,,,,,,,,,,,,,,,,,,,
Burrowing Owl,Diet,Breeding Season/Adult,MT (USA),BTPD,Biomass,%,Neutral,Yes,Neutral,0,Equivocal,"Restani, M; Rau, LR; Flath, DL",79,,,,,,,,,,,,,,,,,,,,,,,,,,
Burrowing Owl,Occurrence,Breeding Season/Adult,AZ (USA),GUPD,Presence/absence,Binary,Neutral,No,Neutral,0,Equivocal,Bayless et al,242,,,,,,,,,,,,,,,,,,,,,,,,,,
Burrowing Owl,Nesting,Breeding Season/Adult,CO (USA),BTPD,Nest distance,m,Neutral,No,Neutral,0,Equivocal,Conrey,244,,,,,,,,,,,,,,,,,,,,,,,,,Productivity,max young/pair
Burrowing Owl,Nesting,Breeding Season/Adult,CO (USA),BTPD,Nest success,Binary,Neutral,No,Neutral,0,Equivocal,Conrey,244,,,,,,,,,,,,,,,,,,,,,,,,,Nest success,Binary
Burrowing Owl,Nesting,Breeding Season/Adult,CO (USA),BTPD,Nest success,Binary,Neutral,No,Neutral,0,Equivocal,Woodard,254,,,,,,,,,,,,,,,,,,,,,,,,,,
