Ref_Num,Paper_Authors,Variable_Number,PD_Species,Bird_Species,Bird_Category,Country,State_Province,Loc_Name,Tribal_Land,Habitat_Type,Habitat_Type_1,Habitat_Type_2,Habitat_Type_3,Habitat_Type_4,Lat,Long,Ref_Num_BCR,BCR,BCRNAME,Start_Year,End_Year,Study_Duration,Season,Months,Sampling_Period,Sampling_Period_1,Sampling_Period_2,Sampling_Period_3,Sampling_Period_4,Patch_Size_ha,Grazing_Regime,Fire_Regime,Mean_PD_Size,Total_PD_Size,Min_PD_Size,Max_PD_Size,Effect_Type,Survey_Type,Sampling_Scheme,Abundance_Variable,Abundance_Units,Abundance_Test,Alpha_Variable,Alpha_Units,Alpha_Test,Beta_Variable,Beta_Units,Beta_Test,Demo_Variable_1,Demo_Units_1,Demo_Test_1,Demo_Variable_2,Demo_Units_2,Demo_Test_2,Diet_Variable_1,Diet_Units_1,Diet_Test_1,Diet_Variable_2,Diet_Units_2,Diet_Test_2,Summary_Data,Sample_Size_Count,Sample_Size_Units,Variance,Effect_Size,Data_Text,Data_Figures,Data_Availability,Conclusions,Evidence_Strength,Hypothesis_1,Hypothesis_2,Hypothesis_3,Descriptive_only
9,Giovanni et al,2,BTPD,"FEHA, SWHA",Raptor,USA,"TX, OK, NM","Rita Blanca NG, Kiowa NG, OK Panhandle",No,"Shortgrass Prairie, Mixed-grass Prairie, Agriculture",Shortgrass Prairie,Mixed-grass Prairie,Agriculture,NA,36.42395,-102.682196,9,18,SHORTGRASS PRAIRIE,2003,2004,2,Spring/Summer,Mar-NA,Breeding Season,Breeding Season,NA,NA,NA,"81,000",Cattle,Not specified (presumably suppressed),Not specified,Not specified,Not specified,Not specified,Diet,Diet analysis,Video monitoring,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Biomass,Percent (in grams),t-test,NA,NA,NA,Reported,"12 FEHA nests, 14 SWHA nests",nests,Not calculating,Not calculating,Yes,No,Not mentioned,"BTPD were the 2nd most frequent prey item for FEHA and the highest proportion of the biomass. SWHA consumed reptiles, amphibians, insects, and small mammals, but did not consume BTPD. Cottontails were the responsible for the greatest biomass for SWHA. Although the authors did not test this, SWHA prey items such as cottontails can be more abundant on prairie dog towns so they may still represent important foraging sites (RAD note-- look at community papers).",Strong,NA,NA,Supports,No
10,Keeley et al,1,GUPD,FEHA,Raptor,USA,NM,"Estancia Valley, San Augustin Plains",No,Shortgrass Prairie,Shortgrass Prairie,NA,NA,NA,34.773049,-106.06736,10,16,SOUTHERN ROCKIES/COLORADO PLATEAU,1998,2005,8,Spring/Summer,April-NA,Breeding Season,Breeding Season,NA,NA,NA,"238,000 ha, 158,000 ha",Cattle,Not specified (presumably suppressed),Not specified,Not specified,Not specified,Not specified,Nesting,Diet analysis,Video monitoring,NA,NA,NA,NA,NA,NA,NA,NA,NA,Productivity,Number of fledglings,ANOVA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Reported,45,FEHA nests,Not calculating,Not calculating,Yes,No,Not mentioned,"GUPD were a major prey item for FEHA, but this varied based on prey availability. FEHA nesting in areas with more GUPD had higher nest success and productivity.",Moderate,NA,NA,Supports,No
10,Keeley et al,3,GUPD,FEHA,Raptor,USA,NM,"Estancia Valley, San Augustin Plains",No,Shortgrass Prairie,Shortgrass Prairie,NA,NA,NA,34.773049,-106.06736,10,16,SOUTHERN ROCKIES/COLORADO PLATEAU,1998,2005,8,Spring/Summer,April-NA,Breeding Season,Breeding Season,NA,NA,NA,"238,000 ha, 158,000 ha",Cattle,Not specified (presumably suppressed),Not specified,Not specified,Not specified,Not specified,Diet,Diet analysis,Video monitoring,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Frequency,Percent (count),Chi-square,NA,NA,NA,Reported,986,prey items,Not calculating,Not calculating,Yes,No,Not mentioned,"GUPD were a major prey item for FEHA, but this varied based on prey availability. FEHA nesting in areas with more GUPD had higher nest success and productivity.",Moderate,NA,NA,Supports,No
10,Keeley et al,4,GUPD,FEHA,Raptor,USA,NM,"Estancia Valley, San Augustin Plains",No,Shortgrass Prairie,Shortgrass Prairie,NA,NA,NA,34.773049,-106.06736,10,16,SOUTHERN ROCKIES/COLORADO PLATEAU,1998,2005,8,Spring/Summer,April-NA,Breeding Season,Breeding Season,NA,NA,NA,"238,000 ha, 158,000 ha",Cattle,Not specified (presumably suppressed),Not specified,Not specified,Not specified,Not specified,Diet,Diet analysis,Video monitoring,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Biomass,Percent (in grams),ANOVA,Reported,986,prey items,Not calculating,Not calculating,Yes,No,Not mentioned,"GUPD were a major prey item for FEHA, but this varied based on prey availability. FEHA nesting in areas with more GUPD had higher nest success and productivity.",Moderate,NA,NA,Supports,No
10,Keeley et al,2,GUPD,FEHA,Raptor,USA,NM,"Estancia Valley, San Augustin Plains",No,Shortgrass Prairie,Shortgrass Prairie,NA,NA,NA,34.773049,-106.06736,10,16,SOUTHERN ROCKIES/COLORADO PLATEAU,1998,2005,8,Spring/Summer,April-NA,Breeding Season,Breeding Season,NA,NA,NA,"238,000 ha, 158,000 ha",Cattle,Not specified (presumably suppressed),Not specified,Not specified,Not specified,Not specified,Nesting,Diet analysis,Video monitoring,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nest success,Binary,Chi-square,NA,NA,NA,NA,NA,NA,NA,NA,NA,Reported,45,FEHA nests,Not calculating,Not calculating,Yes,No,Not mentioned,"GUPD were a major prey item for FEHA, but this varied based on prey availability. FEHA nesting in areas with more GUPD had higher nest success and productivity.",Moderate,NA,NA,Supports,No
11,Koford,1,BTPD,"STGR, MOPL, MODO, GOEA, FEHA, RTHA, SWHA, NOHA, RLHA, BUOW, PRFA, HOLA, TBLO, LARB",General,USA,Regionwide,Regionwide (NA),No,"Shortgrass Prairie, Mixed-grass Prairie, Sagebrush Steppe",Shortgrass Prairie,Mixed-grass Prairie,Sagebrush Steppe,NA,NA,NA,11,NA,CONTINENTAL,1954,1955,2,Year-round,Jan-Dec,Year-round,Breeding Season,Nonbreeding Season,Prebreeding Migration,Postbreeding Migration,Not specified,Bison & cattle,Not specified (presumably suppressed),Not specified,Not specified,Not specified,Not specified,Occurrence,Behavioral observation,"Field observation, collections",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,No,NA,"The author describes and summarizes natural history observations on prairie dog towns from across the Great Plains. They describe raptor predation and scavenging (RLHA, PRFA) of prairie dogs, lekking of STGR on prairie dog towns, and higher abundance of MOPL, MODO, BUOW, HOLA, LARB, and TBLO on prairie dog towns.",Weak,Supports,NA,Supports,Yes
12,Merriman et al,1,BTPD,"FEHA, NOHA, RTHA, SWHA, AMKE",Raptor,USA,"TX, NM","Lubbock, Melrose Range",No,Shortgrass Prairie,Shortgrass Prairie,NA,NA,NA,33.888,-102.8138,12,18,SHORTGRASS PRAIRIE,2002,2002,1,Year-round,Jan-Dec,Year-round,Breeding Season,Nonbreeding Season,Prebreeding Migration,Postbreeding Migration,Not specified,Cattle,Not specified (presumably suppressed),Not specified,Not specified,Not specified,Not specified,Occurrence,Point count,"Point count routes with 14 in winter, 24 in summer, and 18 during each migration season",Relative abundance,Avg birds/count,"ANOVA, Kruskal-Wallis, or Welch's",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Reported,74,point counts,Not calculating,Not calculating,Yes,No,Not mentioned,Ferruginous Hawks were significantly associated with BTPD towns in winter. SWHA and AMKE were significantly associated with non-colony plots. RTHA and NOHA showed no significant association with either plot type.,Moderate,NA,Supports,Equivocal,No
13,Plumpton and Andersen,1,BTPD,FEHA,Raptor,USA,CO,Denver,No,"Shortgrass Prairie, Mixed-grass Prairie, Urban",Shortgrass Prairie,Mixed-grass Prairie,Urban,NA,39.815274,-104.88255,13,18,SHORTGRASS PRAIRIE,1992,1995,4,Winter,Oct-Feb,Nonbreeding Season,Nonbreeding Season,NA,NA,NA,"6,470",No grazer,Not specified (presumably suppressed),Not specified,Not specified,Not specified,Not specified,Movement,Telemetry,Radio tagged hawks were randomly sampled for habitat use,Home range area (MCP),km^2,GLM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Reported,36,radio tagged FEHA,Not calculating,Not calculating,Yes,No,Not mentioned,"Authors did not expressly test habitat use of PD towns vs non-PD towns, but said that PD towns characterized winter habitat use for FEHA. BTPD were the primary prey item for FEHA from author observations",Weak,NA,NA,Supports,No
14,Plumpton and Andersen,1,BTPD,FEHA,Raptor,USA,CO,Denver,No,"Shortgrass Prairie, Mixed-grass Prairie, Urban",Shortgrass Prairie,Mixed-grass Prairie,Urban,NA,39.815274,-104.88255,14,18,SHORTGRASS PRAIRIE,1992,1995,4,Winter,Oct-Feb,Nonbreeding Season,Nonbreeding Season,NA,NA,NA,"6,470",No grazer,Not specified (presumably suppressed),Not specified,Not specified,Not specified,Not specified,Occurrence,Point count,Standardized driving route w/ point counts,Relative abundance,birds/survey,Chi-square,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Reported,15,surveys,Not calculating,Not calculating,Yes,No,Not mentioned,"Counts of Ferruginous Hawks varied by treatment area and year. Counts were similar between sites until a plague event swept through RMANWR, after which hawk numbers decreased there and increased in the suburban site. The authors conclude that availability of BTPDs is the primary factor determining wintering habitat use by FEHA and that they can tolerate some amount of anthropogenic disturbance if there are enough prey resources.",Moderate,NA,NA,Supports,No
15,Seery and Matiatos,1,BTPD,"FEHA, RTHA, RLHA",Raptor,USA,CO,Denver,No,"Shortgrass Prairie, Mixed-grass Prairie",Shortgrass Prairie,Mixed-grass Prairie,NA,NA,39.815274,-104.88255,15,18,SHORTGRASS PRAIRIE,1988,1997,10,Winter,Nov-Mar,Nonbreeding Season,Nonbreeding Season,NA,NA,NA,"6,900",No grazer,Not specified (presumably suppressed),Not specified,"1,850",Not specified,Not specified,Occurrence,Point count,Standardized driving route w/ point counts,Relative abundance,Avg birds/count,Linear regression,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Reported,140,surveys,Not calculating,Not calculating,Yes,No,Not mentioned,"Ferruginous Hawk numbers were correlated with prairie dog colony area and minimum population size, and they declined concordantly with plague. However, PD metrics were uncorrelated with counts of Red-tailed Hawks and Rough-legged Hawks, which were apparently unaffected by plague.",Moderate,NA,NA,Supports,No
16,Truett,1,BTPD,APFA,Raptor,USA,"NM, AZ","Arizona (SE), New Mexico (S)",No,Shortgrass Prairie,Shortgrass Prairie,NA,NA,NA,31.565868,-110.324086,16,34,SIERRA MADRE OCCIDENTAL,1854,1952,99,NA,NA,Year-round,Year-round,NA,NA,NA,NA,Cattle,NA,NA,NA,NA,NA,Occurrence,Historical analysis,"Analysis of historical occurrence & breeding records, historical livestock patterns, and historical prairie dog eradication efforts ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,observations,NA,NA,Yes,No,NA,"1) Aplomado Falcon extirpation from SW US is strongly correlated with decreases in grazing due to livestock reduction and prairie dog extirpation/poisoning. 2) While correlation does not equal causation, author presents plausible mechanism for reliance on graazed habitat based on APFA natural history & foraging behavior (i.e., demonstrated preference for very short grasses/open landscapes over shrubby ones). 3) If true, mechanism for decline was likely the loss of the larger avian & mammalian prey base supported by prairie dogs + cattle grazing, rather than woody encroachment, based on historical reconstruction.",Weak,Supports,NA,NA,Yes
17,Watson et al,1,"BTPD, MEPD",FEHA,Raptor,"CA, USA, MX",Regionwide,Regionwide (NA),No,"Shortgrass Prairie, Sagebrush Steppe, Pinyon-Juniper Woodland, Desert grassland",Shortgrass Prairie,Sagebrush Steppe,Pinyon-Juniper Woodland,Desert grassland,NA,NA,17,NA,CONTINENTAL,1999,2014,16,Year-round,Jan-Dec,Year-round,Breeding Season,Nonbreeding Season,Prebreeding Migration,Postbreeding Migration,NA,N/A (continental),Not specified (presumably suppressed),NA,NA,NA,NA,Occurrence,Telemetry,Satellite tagged 69 FEHA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Reported,69,satellite tagged FEHA,Not calculating,Not calculating,Yes,Yes,Not mentioned,"FEHA have critical wintering grounds in areas with high PD abundance, such as Janos (BTPD) and La Soledad (MEPD). Authors call for recognizing the importance of fossorial prey such as prairie dogs for FEHA.",Moderate,NA,NA,Supports,No
18,Tipton et al,2,BTPD,BUOW,BUOW,USA,CO,Eastern Colorado,No,"Shortgrass Prairie, Agriculture",Shortgrass Prairie,Agriculture,NA,NA,38.613428,-103.140843,18,18,SHORTGRASS PRAIRIE,2005,2005,1,Spring/Summer,May-June,Breeding Season,Breeding Season,NA,NA,NA,"8,120,000",Cattle,Not specified (presumably suppressed),Not specified,Not specified,Not specified,Not specified,Occurrence,Point count,"Plots balanced across PD colonies, grassland w/o PDs, and agriculture",Relative density,birds/100 ha,Huggins closed captures model,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Reported,272,survey plots,Not calculating,Not calculating,Yes,No,Not mentioned,Densities of both MOPL and BUOW were significantly higher on PD colonies than either grassland or agriculture,Strong,Supports,NA,NA,No
18,Tipton et al,1,BTPD,MOPL,MOPL,USA,CO,Eastern Colorado,No,"Shortgrass Prairie, Agriculture",Shortgrass Prairie,Agriculture,NA,NA,38.613428,-103.140843,18,18,SHORTGRASS PRAIRIE,2005,2005,1,Spring/Summer,May-June,Breeding Season,Breeding Season,NA,NA,NA,"8,120,000",Cattle,Not specified (presumably suppressed),Not specified,Not specified,Not specified,Not specified,Occurrence,Point count,"Plots balanced across PD colonies, grassland w/o PDs, and agriculture",Relative density,birds/100 ha,Huggins closed captures model,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Reported,272,survey plots,Not calculating,Not calculating,Yes,No,Not mentioned,Densities of both MOPL and BUOW were significantly higher on PD colonies than either grassland or agriculture,Strong,Supports,NA,NA,No
19,Tipton et al,2,BTPD,BUOW,BUOW,USA,CO,Eastern Colorado,No,"Shortgrass Prairie, Agriculture",Shortgrass Prairie,Agriculture,NA,NA,38.613428,-103.140843,19,18,SHORTGRASS PRAIRIE,2005,2005,1,Spring/Summer,May-June,Breeding Season,Breeding Season,NA,NA,NA,"8,120,000",Cattle,Not specified (presumably suppressed),Not specified,Not specified,Not specified,Not specified,Occurrence,Point count,"Plots balanced across PD colonies, grassland w/o PDs, and agriculture",Occupancy,NA,MARK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Reported,272,survey plots,Not calculating,Not calculating,Yes,No,Not mentioned,Occupancies of both MOPL and BUOW were significantly higher on PD colonies than either grassland or agriculture,Moderate,Supports,NA,NA,No
19,Tipton et al,1,BTPD,MOPL,MOPL,USA,CO,Eastern Colorado,No,"Shortgrass Prairie, Agriculture",Shortgrass Prairie,Agriculture,NA,NA,38.613428,-103.140843,19,18,SHORTGRASS PRAIRIE,2005,2005,1,Spring/Summer,May-June,Breeding Season,Breeding Season,NA,NA,NA,"8,120,000",Cattle,Not specified (presumably suppressed),Not specified,Not specified,Not specified,Not specified,Occurrence,Point count,"Plots balanced across PD colonies, grassland w/o PDs, and agriculture",Occupancy,NA,MARK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Reported,272,survey plots,Not calculating,Not calculating,Yes,No,Not mentioned,Occupancies of both MOPL and BUOW were significantly higher on PD colonies than either grassland or agriculture,Moderate,Supports,NA,NA,No
20,Augustine,1,BTPD,MOPL,MOPL,USA,CO,"CPER, Pawnee NG",No,"Shortgrass Prairie, Mixed-grass Prairie",Shortgrass Prairie,Mixed-grass Prairie,NA,NA,40.842,-104.4003,20,18,SHORTGRASS PRAIRIE,2008,2009,2,"Spring, Summer, Fall",May-Oct,Breeding Season,Breeding Season,NA,NA,NA,"60,900",Cattle,Dormant-season burns,Not specified,"1,200",16,Not specified,Occurrence,Point count,Random grid sampling,Relative density,birds/km^2,DISTANCE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Reported,82,MOPL observations,Not calculating,Not calculating,Yes,Yes,Not mentioned,MOPL density was similar on BTPD colonies and on prescribed burns. MOPL were scarcely detected on rangeland not containing prairie dogs or prescribed fire.,Strong,Supports,NA,NA,No
